head_entity,relation,tail_entity,timestamp
直升机,发生,双GPS接收机信号丢失,2014-11
直升机,表现为,死 reckoning（推算导航）提示,2014-11
直升机,告警于,信号丢失,2014-11
第一航班机长,发生,沟通误解（摄氏/华氏度混淆）,2014-11
第一航班,导致,除冰液使用错误,2014-11
第一航班,表现为,需要返航重新除冰,2014-11
B757-200,发生,甚高频（VHF）通信失效,2012-10
B757-200,表现为,无法联系塔台及离场管制,2012-10
B757-200,告警于,应答机编码7600,2012-10
B757-200,维修于,维护人员无法复现故障,2012-10
CE560,发生,导航数据库航路点命名冲突,2012-11
CE560,表现为,需手动输入经纬度（Lat/Long）,2012-11
CE560,属性,操作性错误,2012-11
第二航班机长,发生,疲劳与沟通不畅,2015-09
第二航班,发生,高度偏离（5000英尺误听为5500英尺）,2015-09
第二航班,告警于,管制员提醒,2015-09
CE501,发生,低高度告警,2016-01
CE501,表现为,低于最低引导高度（2600英尺）,2016-01
CE501,导致,自动驾驶模式操作困难,2016-01
第一航班机长,发生,视线外飞行（NMAC）,2012-10
第一航班机长,表现为,目视发现冲突交通,2012-10
第一航班机长,采取措施,紧急爬升避让,2012-10
A321,发生,疲劳驾驶,2019-11
A321机长,表现为,微睡眠发作,2019-11
A321机长,维修于,疲劳报告,2019-11
调度员,发生,系统崩溃（Swift软件）,2016-01
调度员,导致,备降场选择失误,2016-01
调度员,表现为,工作负荷过大,2016-01
PBI塔台教员,发生,跑道入侵,2019-11
PBI塔台教员,导致,起飞许可发出过早,2019-11
PBI塔台教员,表现为,进近飞机未及时脱离跑道,2019-11
EMB-170,发生,重量与平衡数据错误,2016-06
EMB-170,导致,未卸载行李（390磅）,2016-06
EMB-170,表现为,起飞配平设置不准确,2016-06
CRJ-200,发生,维修工时不足,2019-01
CRJ-200,导致,检查工作仓促,2019-01
CRJ-200,属性,安全风险,2019-01
Embraer 145,发生,燃油系统指示故障,2013-03
Embraer 145,表现为,1号翼Tank燃油指示归零,2013-03
Embraer 145,告警于,燃油低油位警告,2013-03
Embraer 145,采取措施,返航降落,2013-03
维修人员,发生,异物遗留（剃须刀片）,2019-11
维修人员,导致,驾驶舱烟雾/异味,2019-11
维修人员,维修于,锐器未清理（FOD）,2019-11
货物机长,发生,恶劣天气绕飞冲突,2020-09
货物机长,发生,空中接近冲突,2020-09
货物机长,告警于,管制员警告,2020-09
C172,发生,发动机空中停车,2013-03
C172,采取措施,紧急降落,2013-03
A320,发生,引气系统异常压力,2013-03
A320,导致,单引气活门关闭,2013-03
A320机长,发生,决策困难（备降或返航）,2013-03
A320机长,采取措施,超重着陆,2013-03
B757-200,发生,维护程序违规,2013-10
B757-200,导致,自动减速板机构漏检,2013-10
B757-200,属性,疲劳与文件理解错误,2013-10
PAE塔台飞行员,发生,跑道侵入（误入跑道11）,2012-05
PAE塔台飞行员,表现为,持有错误的停机坪持有线,2012-05
PAE塔台飞行员,告警于,管制员取消起飞许可,2012-05
维修人员,发生,违规停放,2013-10
维修人员,表现为,机库停放位置未标记,2013-10
维修人员,导致,千斤顶作业风险,2013-10
第二航班飞行员,发生,空中接近事故（NMAC）,2019-11
第二航班飞行员,导致,错误的离场航向,2019-11
第二航班飞行员,采取措施,TCAS避让,2019-11
B737-700,发生,飞行管理系统（FMS）故障,2012-12
B737-700,表现为,航路不连续错误,2012-12
B737-700,导致,无法自动执行离场程序,2012-12
CRJ900,发生,偏离指定航路,2015-09
CRJ900,导致,遭遇尾流颠簸,2015-09
CRJ900飞行员,发生,强光炫目（太阳直射）,2015-09
B787飞行员,发生,高度偏差,2019-11
B787飞行员,导致,米制与英制单位换算错误,2019-11
B767-200,发生,襟翼控制系统失效,2012-02
B767-200,表现为,襟翼不一致警告,2012-02
B767-200,采取措施,紧急降落,2012-02
EMB-500,发生,右发动机失效,2018-10
EMB-500,表现为,N1转速下降,2018-10
EMB-500,采取措施,单发着陆,2018-10
B737,发生,不稳定的进近,2015-12
B737,导致,低于最低安全高度（盲降警告）,2015-12
B737,属性,燃油不足风险,2015-12
Citationjet,发生,起飞方向失控,2016-03
Citationjet,导致,主起落架轮胎爆裂,2016-03
Citationjet,采取措施,中断起飞,2016-03
HIO塔台管制员,发生,ATIS设备故障,2018-10
HIO塔台管制员,导致,信息广播延迟,2018-10
HIO塔台管制员,属性,工作负荷过大,2018-10
Phenom 300,发生,野生动物撞击（鹿）,2019-08
Phenom 300,导致,机身底部损坏,2019-08
Phenom 300,采取措施,警告其他飞机,2019-08
B737,发生,客舱环境失控,2017-10
B737,导致,机组提前断电关车,2017-10
B737,表现为,乘客不适（高温）,2017-10
EMB-140,发生,不稳定进近,2020-03
EMB-140,告警于,EGPWS警告,2020-03
EMB-140,告警于,低空高度警告,2020-03
B737-300,发生,液压系统失效,2005-07-12T14:30:00
B737-300,表现为,起落架无法正常放下,2005-07-12T14:30:00
B737-300,采取措施,重力放轮程序,2005-07-12T14:30:00
B737-300,维修于,液压系统检查维修,2005-07-13
A320,发生,发动机喘振,2008-09-15T08:45:00
A320,表现为,发动机振动值超限,2008-09-15T08:45:00
A320,告警于,发动机故障警告,2008-09-15T08:45:00
A320,采取措施,发动机空中停车,2008-09-15T08:45:00
B757-200,发生,自动驾驶系统故障,2010-03-22T11:20:00
B757-200,表现为,飞机姿态异常,2010-03-22T11:20:00
B757-200,告警于,自动驾驶断开警告,2010-03-22T11:20:00
B757-200,采取措施,人工接管操纵,2010-03-22T11:20:00
CRJ-200,发生,襟翼控制系统故障,2012-08-30T16:15:00
CRJ-200,表现为,襟翼不对称警告,2012-08-30T16:15:00
CRJ-200,导致,起飞中断,2012-08-30T16:15:00
CRJ-200,维修于,襟翼控制单元更换,2012-08-31
B747-400,发生,燃油泄漏,2015-11-05T03:40:00
B747-400,表现为,燃油油量指示异常,2015-11-05T03:40:00
B747-400,告警于,燃油低油位警告,2015-11-05T03:40:00
B747-400,采取措施,紧急备降,2015-11-05T03:40:00
A330,发生,电气系统短路,2018-06-18T22:10:00
A330,表现为,客舱灯光闪烁,2018-06-18T22:10:00
A330,告警于,电气系统故障警告,2018-06-18T22:10:00
A330,采取措施,备用电源启用,2018-06-18T22:10:00
B737-800,发生,空调系统失效,2020-02-14T09:30:00
B737-800,表现为,客舱温度异常升高,2020-02-14T09:30:00
B737-800,告警于,空调系统故障警告,2020-02-14T09:30:00
B737-800,采取措施,紧急下降高度,2020-02-14T09:30:00
直升机,发生,尾桨控制系统故障,2021-07-23T15:45:00
直升机,表现为,直升机出现异常偏航,2021-07-23T15:45:00
直升机,告警于,尾桨故障警告,2021-07-23T15:45:00
直升机,采取措施,紧急着陆,2021-07-23T15:45:00
B777,发生,发动机叶片断裂,2022-01-09T13:20:00
B777,表现为,发动机严重振动,2022-01-09T13:20:00
B777,告警于,发动机超限警告,2022-01-09T13:20:00
B777,采取措施,单发着陆,2022-01-09T13:20:00
飞机,发生,风挡玻璃破裂,2023-05-17T10:50:00
飞机,表现为,驾驶舱失压,2023-05-17T10:50:00
飞机,告警于,增压系统故障警告,2023-05-17T10:50:00
飞机,采取措施,紧急下降,2023-05-17T10:50:00
飞机,维修于,风挡玻璃更换,2023-05-18
飞机,发生,起落架收放故障,2023-09-30T16:30:00
飞机,表现为,起落架位置指示异常,2023-09-30T16:30:00
飞机,告警于,起落架不一致警告,2023-09-30T16:30:00
飞机,采取措施,重力放轮,2023-09-30T16:30:00
B737-700,发生,高度越限,2018-08
B737-700,表现为,未按剖面下降,2018-08
EMB145,发生,空中冲突,2014-12
EMB145,表现为,与无人机近距离相遇,2014-12
SR22,发生,主飞行显示器故障,2013-12
SR22,表现为,姿态信息错误,2013-12
SR22,告警于,姿态警告,2013-12
SR22,告警于,低高度告警,2013-12
男爵 58,发生,皮托管加热系统故障,2014-11
男爵 58,表现为,空速指示失效,2014-11
男爵 58,导致,姿态航向参考系统故障,2014-11
男爵 58,维修于,更换皮托管,2014-11
B737-800,发生,遭遇强颠簸,2020-03
B737-800,表现为,机翼倾斜超 50 度,2020-03
B737-800,表现为,空速损失 30-40 节,2020-03
B737-800,表现为,高度损失至少 500 英尺,2020-03
Dash8-200,发生,增压系统故障,2012-03
Dash8-200,表现为,客舱高度过高,2012-03
MD-80,发生,地面冲突,2012-01
MD-80,导致,复飞,2012-01
MD-80,发生,发动机故障,2016-01
MD-80,表现为,发动机喘振,2016-01
MD-80,表现为,EGT 超温,2016-01
MD-80,维修于,紧急备降,2016-01
小型运输机,发生,空中冲突,2017-01
小型运输机,表现为,垂直距离 200 英尺接近,2017-01
B737NG,发生,通信混乱,2017-01
B737NG,导致,复飞,2017-01
CRJ200,发生,遭遇尾流,2016-04
CRJ200,表现为,高度上浮 50 英尺,2016-04
CRJ200,导致,复飞,2016-04
CRJ200,告警于,发动机超转,2016-04
商用固定翼飞机,发生,跑道侵入,2014-07
商用固定翼飞机,表现为,滑行误解指令,2014-07
EMB170,发生,不稳定进近,2019-07
EMB170,表现为,高速告警,2019-07
EMB170,表现为,下沉率告警,2019-07
小型飞机,发生,地面冲突,2021-11
小型飞机,表现为,反向跑道着陆,2021-11
小型飞机,发生,起飞冲突,2021-07
小型飞机,表现为,与进近飞机近距离相遇,2021-07
B737-700,发生,空中冲突,2012-11
B737-700,告警于,TCAS 告警,2012-11
B737-700,表现为,水平 500 英尺垂直 200 英尺接近,2012-11
A321,发生,客舱座椅配置缺陷,2017-06
A321,表现为,乘务员座椅不足,2017-06
MBB-BK117,发生,主旋翼桨叶操作不当,2021-08
MBB-BK117,表现为,桨叶序列号未核对,2021-08
猎鹰 900,发生,速度限制混淆,2016-04
猎鹰 900,表现为,离场程序速度歧义,2016-04
小型飞机,发生,空中冲突,2012-10
小型飞机,表现为,水平 250 英尺接近,2012-10
雷达系统,发生,维护中断,2012-02
雷达系统,表现为,日间停机维护,2012-02
商用飞机,发生,危险品违规运输,2021-01
商用飞机,表现为,危险品未固定,2021-01
A330,发生,客舱烟雾异味,2018-10
A330,表现为,机组人员身体不适,2018-10
B787,发生,机组氧气系统故障,2015-02
B787,表现为,氧气瓶压力表损坏,2015-02
B787,表现为,氧气瓶泄漏,2015-02
B787,维修于,检查氧气瓶,2015-02
交错翼 17,发生,发动机停车,2017-02
交错翼 17,表现为,化油器结冰,2017-02
交错翼 17,导致,机腹迫降,2017-02
大篷车 208B,发生,非雷达移交违规,2017-12
大篷车 208B,表现为,无雷达直飞航线,2017-12
中型运输机,发生,空域违规,2015-04
中型运输机,表现为,误入军用空域,2015-04
空客 A320,发生,近地告警,2017-02
空客 A320,告警于,地形告警,2017-02
空客 A320,表现为,误触发地形警告,2017-02
无人机,发生,资质违规,2021-06
无人机,表现为,未完成正确复训,2021-06
B737-800,发生,液压油箱操作不当,2012-02
B737-800,表现为,维护记录不完整,2012-02
气动阀 / 引气阀,发生,故障,2014-07
正常刹车系统,发生,故障,2017-10
前起落架转向系统,发生,故障,2012-12
高度表,发生,操作不当,2012-03
再循环风扇,发生,故障,2014-02
涡轮发动机,发生,操作不当,2015-08
断路器 / 保险丝 / 热电偶,发生,故障,2012-05
厕所烟雾 / 过热 / 火灾探测器,发生,告警,2015-11
发动机,发生,故障,2017-10
襟翼控制系统,发生,故障,2012-06
前起落架,发生,故障,2015-12
机身蒙皮,发生,故障,2019-10
襟翼整流罩,发生,故障,2017-04
服务 / 检修门,发生,故障,2019-06
氧气系统,发生,故障,2019-06
燃油系统,发生,操作不当,2013-09
增压控制系统,发生,故障,2015-01
ZMP 管制中心,发生,空中冲突,2019-08
B767-300,表现为,推力反转器异常,2014-07
塞斯纳 172,表现为,左刹车失效,2017-10
EMB145,表现为,向右偏航,2012-12
直升机,发生,空中冲突,2012-08
ZAU 管制中心,发生,空域违规,2020-07
B737-700,表现为,发动机意外关闭,2015-08
A319,表现为,机舱烟雾异味,2020-03
B737-700,发生,GCU 安装错误,2012-05
BWI 机场,属性,滑行道标识不清,2019-07
MD-80,表现为,厕所烟雾告警,2015-11
EMB175,发生,高度越限,2017-04
自制飞机,表现为,前起落架断裂,2015-12
EMB175,属性,未降级非 RVSM,2019-10
利尔喷气 35,发生,尾流遭遇,2012-10
宽体客机,发生,不稳定进近,2017-12
A321,发生,CDL 程序未执行,2017-04
CRJ900,表现为,增压异常,2019-06
B737-800,属性,轮胎磨损标准不清,2014-03
B737-700,发生,严重颠簸,2015-04
B737-700,表现为,失速告警,2015-04
B737-700,表现为,超速告警,2015-04
B737-700,发生,氧气面罩故障,2019-06
B737-800,发生,燃油不平衡,2013-09
ERJ170,属性,维护项目未处理,2016-02
ERJ190,表现为,引气压力波动,2015-01
A330,属性,停场待检,2021-10
ZMP 管制中心,导致,冲突风险,2019-08
B767-300,导致,紧急备降,2014-07
塞斯纳 172,导致,跑道占用,2017-10
EMB145,导致,滑行失控,2012-12
直升机,导致,序列混乱,2012-08
ZAU 管制中心,导致,移交延误,2020-07
B737-700,导致,返回停机位,2015-08
A319,导致,机组不适,2020-03
B737-700,导致,维护遗漏,2012-05
BWI 机场,导致,滑行犹豫,2019-07
MD-80,导致,返航落地,2015-11
EMB175,导致,接管操纵,2017-04
自制飞机,导致,机身受损,2015-12
EMB175,导致,程序违规,2019-10
利尔喷气 35,导致,复飞风险,2012-10
宽体客机,导致,执行复飞,2017-12
A321,导致,飞行违规,2017-04
CRJ900,导致,返航落地,2019-06
B737-800,导致,标准争议,2014-03
B737-700,导致,高度下降,2015-04
B737-700,导致,备降处理,2019-06
B737-800,导致,起飞失衡,2013-09
ERJ170,导致,安全隐患,2016-02
ERJ190,导致,返航停场,2015-01
气动阀 / 引气阀,位于,B767-300,2014-07
正常刹车系统,位于,塞斯纳 172,2017-10
前起落架转向系统,位于,EMB145,2012-12
高度表,位于,商用固定翼飞机,2012-03
再循环风扇,位于,B777-200,2014-02
涡轮发动机,位于,B737-700,2015-08
厕所烟雾探测器,位于,MD-80,2015-11
发动机,位于,PA-46,2017-10
襟翼控制系统,位于,B737-700,2012-06
前起落架,位于,自制飞机,2015-12
机身蒙皮,位于,EMB175,2019-10
襟翼整流罩,位于,A321,2017-04
服务门,位于,CRJ900,2019-06
氧气系统,位于,B737-700,2019-06
燃油系统,位于,B737-800,2013-09
增压控制系统,位于,ERJ190,2015-01
ZMP 管制中心,属于,空管系统,未知
B767-300,属于,货运飞机,2014-07
塞斯纳 172,属于,训练飞机,2017-10
EMB145,属于,支线客机,2012-12
直升机,属于,通用航空,2012-08
B737-700,属于,民航客机,2015-08
A319,属于,民航客机,2020-03
MD-80,属于,民航客机,2015-11
EMB175,属于,支线客机,2017-04
自制飞机,属于,实验类飞机,2015-12
利尔喷气 35,属于,公务机,2012-10
宽体客机,属于,民航客机,2017-12
A321,属于,民航客机,2017-04
CRJ900,属于,支线客机,2019-06
ERJ170,属于,支线客机,2016-02
ERJ190,属于,支线客机,2015-01
A330,属于,民航客机,2021-10
B767-300,维修于,故障排查,2014-07
塞斯纳 172,维修于,人工移出跑道,2017-10
EMB145,维修于,拖行至停机位,2012-12
B737-700,维修于,重新启动发动机,2015-08
B737-700,维修于,GCU 复位,2012-05
MD-80,维修于,消防检查,2015-11
自制飞机,维修于,机身修复,2015-12
EMB175,维修于,RVSM 降级,2019-10
A321,维修于,襟翼润滑,2017-04
CRJ900,维修于,线路修复,2019-06
B737-700,维修于,颠簸检查,2015-04
B737-700,维修于,氧气面罩更换,2019-06
B737-800,维修于,燃油平衡调整,2013-09
ERJ190,维修于,增压系统检修,2015-01
B767-300,告警于,推力反转器告警,2014-07
EMB145,告警于,转向异常告警,2012-12
B737-700,告警于,失速告警,2015-04
B737-700,告警于,超速告警,2015-04
MD-80,告警于,厕所烟雾告警,2015-11
B737-800,告警于,燃油不平衡告警,2013-09
ERJ190,告警于,引气压力告警,2015-01
B767-300,属性,执行跨大西洋航班,2014-07
塞斯纳 172,属性,执行仪表训练,2017-10
EMB145,属性,执行客运航班,2012-12
直升机,属性,执行进场程序,2012-08
B737-700,属性,执行客运航班,2015-08
A319,属性,执行客运航班,2020-03
MD-80,属性,执行客运航班,2015-11
EMB175,属性,执行客运航班,2017-04
自制飞机,属性,执行私人飞行,2015-12
利尔喷气 35,属性,执行客运航班,2012-10
宽体客机,属性,执行客运航班,2017-12
A321,属性,执行客运航班,2017-04
CRJ900,属性,执行客运航班,2019-06
ERJ170,属性,执行调机航班,2016-02
ERJ190,属性,执行客运航班,2015-01
A330,属性,执行客运航班,2021-10
气动阀,发生,故障,2014-07
引气阀,发生,故障,2014-07
刹车系统,发生,失效,2017-10
前起落架转向系统,发生,故障,2012-12
高度表,发生,操作错误,2012-03
再循环风扇,发生,故障,2014-02
涡轮发动机,发生,意外关闭,2015-08
机舱空调系统,发生,异味故障,2020-03
飞行管理计算机,发生,剖面控制异常,2018-08
无人机,发生,空域入侵,2014-12
主飞行显示器,发生,显示故障,2013-12
皮托管加热系统,发生,失效,2014-11
姿态航向参考系统,发生,功能失效,2014-11
飞机机身,发生,颠簸失控,2020-03
座舱增压系统,发生,失压故障,2012-03
发动机,发生,失效,2016-01
起落架,发生,操作失误,2012-05
近地告警系统,告警于,地形警告,2017-02
氧气瓶,发生,压力表损坏,2015-02
化油器,发生,结冰故障,2017-02
雷达系统,发生,维护中断,2012-02
液压油箱,发生,操作不当,2012-02
空管系统,发生,移交失误,2019-08
空管系统,发生,通信中断,2019-08
发动机,表现为,喘振,2016-01
发动机,表现为,超温,2016-01
刹车系统,表现为,左刹车失效,2017-10
前起落架转向系统,表现为,向右偏航,2012-12
高度表,表现为,高度设置错误,2012-03
再循环风扇,表现为,过热,2014-02
座舱空调系统,表现为,烟雾异味,2020-03
主飞行显示器,表现为,姿态错误,2013-12
皮托管加热系统,表现为,空速指示失效,2014-11
座舱增压系统,表现为,客舱高度过高,2012-03
飞行管理计算机,表现为,未按剖面下降,2018-08
飞机机身,表现为,机翼倾斜超限,2020-03
氧气瓶,表现为,氧气泄漏,2015-02
化油器,表现为,发动机停车,2017-02
雷达系统,表现为,信号丢失,2012-02
空管系统,表现为,空中冲突风险,2019-08
气动阀,导致,紧急备降,2014-07
引气阀,导致,紧急备降,2014-07
刹车系统,导致,跑道占用,2017-10
前起落架转向系统,导致,滑行失控,2012-12
高度表,导致,低高度告警,2012-03
再循环风扇,导致,备降,2014-02
涡轮发动机,导致,返回停机位,2015-08
座舱空调系统,导致,机组不适,2020-03
主飞行显示器,导致,失速风险,2013-12
皮托管加热系统,导致,仪表失效,2014-11
姿态航向参考系统,导致,仪表失效,2014-11
飞机机身,导致,高度损失,2020-03
座舱增压系统,导致,紧急下降,2012-03
发动机,导致,备降,2016-01
近地告警系统,导致,紧急爬升,2017-02
氧气瓶,导致,安全隐患,2015-02
化油器,导致,机腹迫降,2017-02
雷达系统,导致,指挥失效,2012-02
空管系统,导致,冲突事件,2019-08
气动阀,维修于,故障排查,2014-07
引气阀,维修于,故障排查,2014-07
刹车系统,维修于,人工移出跑道,2017-10
前起落架转向系统,维修于,拖行检修,2012-12
皮托管加热系统,维修于,更换皮托管,2014-11
氧气瓶,维修于,全面检查,2015-02
液压油箱,维修于,维护整改,2012-02
发动机,属于,动力系统,未知
刹车系统,属于,起落架系统,未知
前起落架转向系统,属于,起落架系统,未知
高度表,属于,仪表系统,未知
再循环风扇,属于,空调系统,未知
座舱空调系统,属于,环控系统,未知
主飞行显示器,属于,航电系统,未知
皮托管加热系统,属于,仪表系统,未知
姿态航向参考系统,属于,航电系统,未知
座舱增压系统,属于,环控系统,未知
近地告警系统,属于,航电系统,未知
雷达系统,属于,空管系统,未知
氧气瓶,属于,救生系统,未知
化油器,属于,动力系统,未知
气动阀,位于,B767-300,2014-07
引气阀,位于,B767-300,2014-07
刹车系统,位于,塞斯纳 172,2017-10
前起落架转向系统,位于,EMB145,2012-12
高度表,位于,商用固定翼飞机,2012-03
再循环风扇,位于,B777-200,2014-02
涡轮发动机,位于,B737-700,2015-08
座舱空调系统,位于,A319,2020-03
主飞行显示器,位于,SR22,2013-12
皮托管加热系统,位于,男爵 58,2014-11
姿态航向参考系统,位于,男爵 58,2014-11
座舱增压系统,位于,Dash8-200,2012-03
发动机,位于,MD-80,2016-01
近地告警系统,位于,空客 A320,2017-02
氧气瓶,位于,B787,2015-02
化油器,位于,交错翼 17,2017-02
雷达系统,位于,ZMA 管制中心,2012-02
液压油箱,位于,B737-800,2012-02
空管系统,位于,ZMP 管制中心,2019-08
B767-300,属性,货运飞机,2014-07
塞斯纳 172,属性,训练飞机,2017-10
EMB145,属性,支线客机,2012-12
B777-200,属性,宽体客机,2014-02
B737-700,属性,民航客机,2015-08
A319,属性,民航客机,2020-03
SR22,属性,通用航空飞机,2013-12
男爵 58,属性,通用航空飞机,2014-11
Dash8-200,属性,支线客机,2012-03
MD-80,属性,民航客机,2016-01
空客 A320,属性,民航客机,2017-02
B787,属性,民航客机,2015-02
交错翼 17,属性,通用航空飞机,2017-02
ACN,属性,事故编号,未知
ACARS,属性,飞机通信寻址报告系统,未知
AGL,属性,离地高度,未知
AHRS,属性,姿态航向参考系统,未知
ARTCC,属性,航路交通管制中心,未知
ATC,属性,空中交通管制,未知
ATP,属性,航空运输飞行员执照,未知
B737,属性,波音 737 系列飞机,未知
CFIT,属性,可控飞行撞地,未知
CTAF,属性,通用通信咨询频率,未知
EICAS,属性,发动机指示和机组告警系统,未知
EMB,属性,巴西航空工业公司飞机,未知
FAR,属性,联邦航空条例,未知
FMS,属性,飞行管理系统,未知
GPWS,属性,近地告警系统,未知
HPSOV,属性,高压关断阀,未知
IAF,属性,起始进近定位点,未知
IFR,属性,仪表飞行规则,未知
ILS,属性,仪表着陆系统,未知
MCP,属性,模式控制面板,未知
MSL,属性,平均海平面高度,未知
NMAC,属性,近距空中接近,未知
PFD,属性,主飞行显示器,未知
RA,属性,分辨率告警,未知
RNAV,属性,区域导航,未知
RVR,属性,跑道视程,未知
TA,属性,交通告警,未知
TCAS,属性,交通防撞系统,未知
UAS,属性,无人机系统,未知
VFR,属性,目视飞行规则,未知
VMC,属性,目视气象条件,未知
VNAV,属性,垂直导航,未知
ZMP,属性,明尼阿波利斯管制中心,未知
ZAU,属性,芝加哥管制中心,未知
ZDV,属性,丹佛管制中心,未知
ZMA,属性,迈阿密管制中心,未知
ZLC,属性,盐湖城管制中心,未知
发动机,属于,航空器部件,未知
发动机,属性,推力,未知
发动机,发生,无法运行,未知
发动机,发生,突然停止,未知
发动机,发生,功率损失,未知
发动机,发生,启动失败,未知
发动机,表现为,振动异常,未知
发动机,告警于,紧急告警,未知
发动机,维修于,检查维护,未知
发动机,维修于,部件更换,未知
气缸,属于,发动机部件,未知
气缸,属性,压力,未知
气缸,属性,缸盖温度,未知
气缸,发生,破裂,未知
气缸,位于,航空器左侧,未知
气缸,位于,航空器右侧,未知
气缸,位于,前部,未知
气缸,表现为,边缘缺陷,未知
气缸,表现为,通道异常,未知
垫片,属于,摇臂盖部件,未知
垫片,维修于,更换垫片,未知
液压系统,属于,航空器系统,未知
磁电机,属于,气缸部件,未知
点火系统,属于,发动机系统,未知
蓄电池,属于,航空器电气部件,未知
交流发电机,属于,航空器电气部件,未知
排气阀,属于,发动机部件,未知
排气阀,属性,排气温度,未知
螺钉,维修于,拧紧,未知
温度,属性,摄氏度,未知
温度,属性,华氏度,未知
告警装置,告警于,紧急告警,未知
告警装置,告警于,红色缺陷告警,未知
辅助启动装置,属于,航空器启动部件,未知
控制系统,属性,功率控制,未知
控制系统,属性,阿尔法温度控制,未知
维护系统,属于,航空器保障系统,未知
维护系统,维修于,检修服务,未知
挡板,属于,气缸部件,未知
挡板,发生,破裂,未知
接口,属于,飞行系统部件,未知
接口,属性,数字接口,未知
钻具,属于,航空器维修工具,未知
航空器,属性,重量,未知
航空器,属性,偏航角,未知
油阀,属性,阻力,未知
飞行系统,属性,飞行切断,未知
飞行系统,属于,航空器系统,未知
螺旋桨,位于,上部,未知
电源,属性,开关控制,未知
功率,属性,功率过低,未知
功率,属性,功率提升,未知
高度,属性,高度降低,未知
发动机,属性,正常启动,未知
外部油盖,属于,发动机外部部件,未知
外部摇臂盖,属于,发动机外部部件,未知
敲击器,属于,挡板部件,未知
节,属性,速度单位,未知
飞行操作,属于,航空器运行状态,未知
发动机,属于,航空器动力系统,未知
发动机,属性,推力参数,未知
发动机,发生,启动失败,未知
发动机,发生,功率损失,未知
发动机,发生,突然停机,未知
发动机,表现为,振动异常,未知
发动机,表现为,排气温度过高,未知
发动机,告警于,动力系统告警,未知
发动机,维修于,部件拆解检查,未知
气缸,属于,发动机核心部件,未知
气缸,属性,缸压数值,未知
气缸,属性,缸盖温度,未知
气缸,发生,缸体破裂,未知
气缸,发生,磁电机故障,未知
气缸,位于,发动机左侧舱,未知
气缸,位于,发动机右侧舱,未知
气缸,表现为,缸壁边缘缺陷,未知
气缸,表现为,气道流通异常,未知
液压系统,属于,航空器操控系统,未知
液压系统,属性,液压油液位,未知
液压系统,发生,油液泄漏,未知
液压系统,表现为,操控响应延迟,未知
液压系统,维修于,油液更换,未知
磁电机,属于,气缸点火部件,未知
磁电机,发生,点火失效,未知
磁电机,维修于,触点清洁,未知
点火系统,属于,发动机启动系统,未知
点火系统,属性,点火电压,未知
点火系统,发生,火花微弱,未知
蓄电池,属于,航空器电气系统,未知
蓄电池,属性,储电容量,未知
蓄电池,发生,电量耗尽,未知
蓄电池,维修于,充电维护,未知
交流发电机,属于,航空器供电系统,未知
交流发电机,发生,发电故障,未知
交流发电机,维修于,线圈检修,未知
排气阀,属于,发动机排气部件,未知
排气阀,属性,阀门开度,未知
排气阀,发生,卡滞故障,未知
排气阀,表现为,排气背压过高,未知
螺旋桨,属于,发动机推进部件,未知
螺旋桨,位于,发动机前端,未知
螺旋桨,发生,桨叶变形,未知
螺旋桨,维修于,动平衡校准,未知
温度传感器,属于,航空器监测系统,未知
温度传感器,属性,测量单位 (摄氏度), 未知
温度传感器,属性,测量单位 (华氏度), 未知
温度传感器,发生,数据漂移,未知
温度传感器,告警于,超温告警,未知
告警装置,属于,航空器预警系统,未知
告警装置,告警于,紧急红色告警,未知
告警装置,告警于,缺陷黄色告警,未知
辅助启动装置,属于,航空器启动系统,未知
辅助启动装置,发生,启动无力,未知
辅助启动装置,维修于,电机检查,未知
控制系统,属于,航空器管理系统,未知
控制系统,属性,功率调节功能,未知
控制系统,属性,温度控制功能,未知
控制系统,发生,指令延迟,未知
维护系统,属于,航空器保障系统,未知
维护系统,维修于,定期检修服务,未知
维护系统,维修于,故障应急处理,未知
挡板,属于,气缸气流部件,未知
挡板,发生,断裂故障,未知
挡板,表现为,气流阻断异常,未知
接口,属于,航空器连接部件,未知
接口,属性,数字信号传输,未知
接口,发生,接触不良,未知
钻具,属于,航空器维修工具,未知
钻具,属性,维修作业用途,未知
航空器,属性,整机重量参数,未知
航空器,属性,飞行偏航角参数,未知
油阀,属于,航空器燃油部件,未知
油阀,属性,流通阻力数值,未知
油阀,发生,开关卡滞,未知
飞行系统,属于,航空器运行系统,未知
飞行系统,属性,紧急切断功能,未知
飞行系统,发生,航线偏离,未知
外部油盖,属于,发动机防护部件,未知
外部油盖,发生,密封失效,未知
外部油盖,维修于,密封件更换,未知
外部摇臂盖,属于,发动机防护部件,未知
外部摇臂盖,发生,松动故障,未知
外部摇臂盖,维修于,螺钉拧紧,未知
敲击器,属于,挡板清洁部件,未知
敲击器,发生,动作失效,未知
速度监测器,属于,航空器监测系统,未知
速度监测器,属性,测量单位 (节), 未知
速度监测器,发生,读数不准,未知
电源开关,属于,航空器电气部件,未知
电源开关,属性,通断控制功能,未知
电源开关,发生,切换故障,未知
发动机,导致,航空器备降,未知
液压系统故障,导致,操控失灵风险,未知
温度传感器故障,导致,误告警事件,未知
气缸破裂,导致,发动机停机,未知
磁电机故障,导致,点火失败,未知